Fund,VaR_95,CVaR_95
Axis Bluechip,-0.8958752119036474,-4.298253974433521
ICICI Bluechip,-7.395333306183633,-inf
Kotak Bluechip,-7.742946900175767,-44.1431880138023
Nippon Large Cap,-7.460737561344605,-44.23347177420618
SBI Bluechip,-6.463215007015019,-inf
