date,Axis Bluechip,ICICI Bluechip,Kotak Bluechip,Nippon Large Cap,SBI Bluechip
2013-04-25,24.6623,14.7586,31.3033,14.0593,103.2947
2013-04-26,24.6681,14.7058,31.3278,14.0531,103.3139
2013-04-28,24.6796,,,,
2013-04-29,24.6855,14.8289,31.3398,14.1084,103.3845
2013-04-30,24.6913,14.8945,31.3503,14.1086,103.0655
2013-05-01,24.6971,,,,
2013-05-02,24.7029,15.1032,31.3834,14.229,103.2057
2013-05-03,24.7088,15.0518,31.3656,14.1115,103.2082
2013-05-05,24.7203,,,,
2013-05-06,24.726,15.1497,31.3995,14.2356,103.2821
2013-05-07,24.7318,15.2704,31.4319,14.3852,103.3087
2013-05-08,24.7375,15.3597,31.4751,14.3518,103.3404
2013-05-09,24.7432,15.2634,31.4968,14.2864,103.3949
2013-05-10,24.7491,15.3358,31.4982,14.3731,103.4157
2013-05-12,24.7604,,,,
2013-05-13,24.7661,15.1284,31.4879,14.1432,103.4824
2013-05-14,24.7718,15.2336,31.5705,14.2231,103.5159
2013-05-15,24.7776,15.5617,31.5899,14.5276,103.113
2013-05-16,24.7833,15.5917,31.5827,14.5877,103.141
2013-05-17,24.7891,15.6811,31.5851,14.6518,103.1745
2013-05-19,24.8004,,,,
2013-05-20,24.8061,15.5963,31.5989,14.5075,103.2356
2013-05-21,24.8118,15.4753,31.5881,14.395,103.2444
2013-05-22,24.8174,15.4089,31.5981,14.2804,103.2698
2013-05-23,24.823,15.2194,31.6113,13.9275,103.2705
2013-05-24,24.8285,15.3594,31.6135,13.9741,103.2834
2013-05-26,24.8398,,,,
2013-05-27,24.8455,15.508,31.6336,14.1468,103.349
2013-05-28,24.8511,15.5632,31.6184,14.2241,103.3617
2013-05-29,24.8568,15.5996,31.6166,14.1521,103.0877
2013-05-30,24.8624,15.6604,31.6382,14.1108,103.1152
2013-05-31,24.8679,15.4335,31.6046,13.9164,103.1296
2013-06-02,24.8791,,,,
2013-06-03,24.8847,15.2578,31.5998,13.8393,103.1984
2013-06-04,24.8903,15.2142,31.6364,13.8528,103.225
2013-06-05,24.8958,15.2456,31.6295,13.8796,103.2598
2013-06-06,24.9014,15.2391,31.6568,13.8693,103.2957
2013-06-07,24.907,15.2015,31.6497,13.7436,103.3194
2013-06-09,24.9182,,,,
2013-06-10,24.9237,15.1368,31.6326,13.6318,103.3704
2013-06-11,24.9292,14.9065,31.5828,13.3795,103.3832
2013-06-12,24.9347,14.8527,31.5693,13.3408,103.3913
2013-06-13,24.9402,14.6936,31.5726,13.199,103.4056
2013-06-14,24.9455,14.8852,31.5823,13.4526,103.4267
2013-06-16,24.9567,,,,
2013-06-17,24.9622,14.9613,31.6026,13.5024,103.154
2013-06-18,24.9678,14.9532,31.6199,13.4342,103.221
2013-06-19,24.9733,15.0209,31.6167,13.4689,103.2602
2013-06-20,24.9788,14.7284,30.9819,13.142,103.2642
2013-06-21,24.9844,14.7306,31.5604,13.1933,103.2992
2013-06-23,24.9955,,,,
2013-06-24,25.0009,14.4707,31.5935,12.9791,103.3469
2013-06-25,25.0065,14.4939,31.5983,12.9839,103.3595
2013-06-26,25.0121,14.4661,31.5682,12.9478,103.3772
2013-06-27,25.0177,14.5856,31.551,13.1137,103.3957
2013-06-28,25.0257,14.9322,31.6061,13.445,103.4072
2013-07-01,25.0444,15.0643,31.6354,13.6086,
2013-07-02,25.0506,15.0405,31.6447,13.5237,103.2075
2013-07-03,25.0562,14.8874,31.6149,13.2808,103.2267
